date,link,text
2018-04-19 11:20,https://sandiego.craigslist.org/csd/ofc/d/schudeling-representative/6565705203.html,Schudeling Representative
2018-04-19 10:56,https://sandiego.craigslist.org/nsd/ofc/d/billing-analyst/6565676870.html,Billing Analyst
2018-04-19 10:39,https://sandiego.craigslist.org/nsd/ofc/d/receptionist-part-time-all/6565656983.html,Receptionist - Part Time - All Shifts/All Days
2018-04-19 10:33,https://sandiego.craigslist.org/nsd/ofc/d/unit-clerk-for-nurses-station/6565649454.html,Unit Clerk for Nurses Station
2018-04-19 10:23,https://sandiego.craigslist.org/csd/ofc/d/full-time-office-assistant/6565637079.html,Full-Time Office Assistant / Fulfillment Manager
2018-04-19 10:07,https://sandiego.craigslist.org/csd/ofc/d/construction-maintenance/6565618362.html,Construction Maintenance Assistant I
2018-04-19 09:43,https://sandiego.craigslist.org/csd/ofc/d/office-assistant-to-property/6565589716.html,Office Assistant To Property Manager
2018-04-19 08:47,https://sandiego.craigslist.org/nsd/ofc/d/executive-personal-assistant/6565521291.html,Executive Personal Assistant
2018-04-19 08:27,https://sandiego.craigslist.org/nsd/ofc/d/entry-level-payroll/6565497742.html,Entry Level Payroll Administrative Opportunity
2018-04-19 08:16,https://sandiego.craigslist.org/nsd/ofc/d/ecommerce-account-specialist/6565485009.html,eCommerce Account Specialist
2018-04-19 08:08,https://sandiego.craigslist.org/csd/ofc/d/legal-assistant-case-manager/6565475614.html,Legal Assistant/Case Manager - Chinese Speaking
2018-04-19 06:53,https://sandiego.craigslist.org/nsd/ofc/d/lobby-receptionist/6565398184.html,LOBBY RECEPTIONIST
2018-04-19 06:12,https://sandiego.craigslist.org/nsd/ofc/d/cbd-company-looking-for-an/6565363983.html,Cbd company looking for an executive assistant
2018-04-18 20:45,https://sandiego.craigslist.org/csd/ofc/d/orders-associate/6565221330.html,Orders Associate
2018-04-18 19:45,https://sandiego.craigslist.org/csd/ofc/d/business-office-manager/6565194511.html,Business Office Manager - Skilled Nursing Facility - Medical Billing
2018-04-18 19:25,https://sandiego.craigslist.org/csd/ofc/d/human-resources-assistant/6565183754.html,Human Resources Assistant
2018-04-18 17:39,https://sandiego.craigslist.org/csd/ofc/d/tired-of-boring-admin-work/6565117703.html,☯Tired of Boring Admin Work? Try Something New! $14-$19 ph+TIPS
2018-04-18 17:35,https://sandiego.craigslist.org/csd/ofc/d/barber-shop-receptionist/6565114342.html,Barber Shop Receptionist/Front Desk Wanted
2018-04-18 17:13,https://sandiego.craigslist.org/csd/ofc/d/clerical-general-office/6565099203.html,CLERICAL/GENERAL OFFICE
2018-04-18 17:13,https://sandiego.craigslist.org/csd/ofc/d/durable-medical-equipment/6565098837.html,Durable Medical Equipment Customer Service Representative
2018-04-18 16:53,https://sandiego.craigslist.org/csd/ofc/d/administrative-assistant/6565083865.html,Administrative Assistant
2018-04-18 16:13,https://sandiego.craigslist.org/csd/ofc/d/admin-assistant-operations/6565051548.html,Admin Assistant - Operations/Dispatch. $16.00-17.00/hour
2018-04-18 16:02,https://sandiego.craigslist.org/csd/ofc/d/part-time-admin-assistant/6565043476.html,Part Time Admin Assistant with Bookkeeping exp - to $18.00/hr
2018-04-18 16:02,https://sandiego.craigslist.org/nsd/ofc/d/looking-for-full-time-admin/6565043250.html,Looking for full-time Admin Assistant
2018-04-18 15:36,https://sandiego.craigslist.org/nsd/ofc/d/reception-night-shift-part/6565021217.html,Reception night shift: part time and full time
2018-04-18 15:12,https://sandiego.craigslist.org/csd/ofc/d/wanted-administrative/6565000683.html,WANTED: Administrative Assistant for one of INC Top 50 Workplaces
2018-04-18 15:06,https://sandiego.craigslist.org/csd/ofc/d/legal-administrative/6564995696.html,Legal Administrative Assistant (Part Time)
2018-04-18 14:24,https://sandiego.craigslist.org/nsd/ofc/d/payroll-assistant-part-time/6564955404.html,"Payroll Assistant - Part Time, Temporary"
2018-04-18 14:16,https://sandiego.craigslist.org/csd/ofc/d/print-production-legal/6564947121.html,Print Production-Legal
2018-04-18 14:09,https://sandiego.craigslist.org/nsd/ofc/d/bilingual-office-assistant-to/6564940229.html,Bilingual Office Assistant to Support FAST Paced Office
2018-04-18 13:49,https://sandiego.craigslist.org/csd/ofc/d/client-relations-manager-for/6564919699.html,Client Relations Manager for a local Market Research Company
2018-04-18 13:46,https://sandiego.craigslist.org/csd/ofc/d/optometric-technician-admin/6564916645.html,Optometric Technician / Admin / Receptionist
2018-04-18 13:00,https://sandiego.craigslist.org/csd/ofc/d/community-organizer-1650-per/6564866999.html,Community Organizer $16.50 per hr plus daily gas stipend
2018-04-18 12:42,https://sandiego.craigslist.org/csd/ofc/d/part-time-admin-exec-assistant/6564847513.html,PART-TIME ADMIN/EXEC ASSISTANT
2018-04-18 12:11,https://sandiego.craigslist.org/ssd/ofc/d/administrative-assistant/6564812489.html,Administrative Assistant / Office Manager
2018-04-18 11:58,https://sandiego.craigslist.org/csd/ofc/d/sales-and-logistics-assistant/6564797905.html,Sales and Logistics Assistant
2018-04-18 11:55,https://sandiego.craigslist.org/esd/ofc/d/account-specialist-needed/6564794994.html,Account Specialist Needed
2018-04-18 11:40,https://sandiego.craigslist.org/nsd/ofc/d/entry-level-office-admin/6564777643.html,"Entry Level Office, Admin + Marketing Positions - Now Hiring"
2018-04-18 11:04,https://sandiego.craigslist.org/csd/ofc/d/part-time-admin-office/6564734713.html,Part-Time Admin/Office Coordinator for Political Fundraising Firm
2018-04-18 10:42,https://sandiego.craigslist.org/csd/ofc/d/administrator-development/6564709457.html,Administrator- Development & Contracts
2018-04-18 10:37,https://sandiego.craigslist.org/nsd/ofc/d/administrative-assistant/6564702838.html,Administrative Assistant
2018-04-18 10:30,https://sandiego.craigslist.org/nsd/ofc/d/office-administrator-sales/6564694195.html,Office Administrator / Sales Assistant Role
2018-04-18 09:56,https://sandiego.craigslist.org/nsd/ofc/d/collision-repair-shop/6564654755.html,Collision Repair Shop Receptionist
2018-04-18 09:44,https://sandiego.craigslist.org/nsd/ofc/d/front-office-clerk/6564640470.html,Front Office Clerk
